263	连	63645	63.0618697486	lian2	(surname)/even/as/join/to link/successively
264	解	63466	63.1346104807	jie3/jie4/xie4	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)
265	教	63382	63.2072549373	jiao1/jiao4	teach, religion/teaching
266	思	63038	63.2795051228	si1	to think/to consider
267	飞	62865	63.3515570266	fei1	to fly
268	物	62861	63.4236043458	wu4	thing/object/matter
269	电	62236	63.4949353294	dian4	electric/electricity/electrical
270	受	62192	63.566215883	shou4	to bear/to stand/to endure/(passive marker)/to receive
271	今	61668	63.6368958607	jin1	today/modern/present/current/this/now
272	完	61564	63.7074566402	wan2	to finish/to be over/whole/complete/entire
273	林	61546	63.7779967893	lin2	woods/forest
274	干	61317	63.848274473	gan1/gan4	dry/to concern/shield, to work/to do/to manage, manage/stem
275	代	60918	63.918094848	dai4	substitute/replace/generation/dynasty/geological era/era/age/period
276	告	60885	63.9878774004	gao4	to tell/to inform/to say
277	兵	60487	64.0572037904	bing1	soldiers/a force/an army/weapons/arms/military/warlike
278	加	60395	64.1264247357	jia1	to add/plus
279	认	60205	64.195427915	ren4	to recognize/to know/to admit
280	通	60005	64.2642018669	tong1	go through/know well/to connect/to communicate/open
281	找	59938	64.3328990276	zhao3	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for
282	远	59805	64.4014437521	yuan3	far/distant/remote
283	非	59778	64.4699575309	fei1	non-/not-/un-
284	性	59716	64.5384002492	xing4	sex/nature/surname/suffix corresponding to -ness or -ity
285	脸	59662	64.6067810761	lian3	face
286	体	59572	64.6750587507	ti3	body/form/style/system
287	轻	59350	64.7430819828	qing1	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft
288	记	59279	64.8110238393	ji4	to remember/to note/mark/sign/to record
289	目	59278	64.8789645496	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title
290	令	59260	64.9468846294	ling4	make or cause to be/order/command/decree/honorable
291	变	59068	65.0145846509	bian4	to change/to become different/to transform/to vary/rebellion
292	似	59016	65.0822250733	si4	to seem/to appear/similar/like/to resemble
293	反	58828	65.1496500219	fan3	wrong side out or up/anti-
294	南	58521	65.2167231065	nan2	south
295	场	58518	65.2837927526	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)
296	跟	58285	65.3505953488	gen1	to follow/to go with/heel/with/and
297	必	57985	65.417054104	bi4	certainly/must/will/necessarily
298	石	57740	65.4832320555	dan4/shi2	10 pecks, rock/stone
299	拉	57202	65.5487933853	la1	to pull/to play (string instruments)/to drag/to draw
300	士	57086	65.6142217633	shi4	scholar/warrior/knight
301	报	56969	65.6795160432	bao4	to announce/to inform/report/newspaper/recompense/revenge
302	李	56383	65.7441386868	li3	(a surname)/plum
303	火	56333	65.8087040236	huo3	fire
304	且	55992	65.8728785276	qie3	further/moreover
305	满	55588	65.9365899923	man3	Manchurian/to fill/to fulfill/filled/packed
306	该	55377	66.000059622	gai1	that/the above-mentioned/most likely/to deserve/should/ought to/owe
307	孩	55330	66.0634753834	hai2	child
308	字	55306	66.1268636374	zi4	letter/symbol/character/word
309	红	55175	66.1901017475	hong2	bonus/popular/red/revolutionary
310	象	55084	66.2532355591	xiang4	shape/form/appearance/elephant/image under a map (math.)
311	即	55059	66.3163407173	ji2	namely/right away/to approach/to draw near
312	结	54890	66.3792521784	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind
313	言	54804	66.4420650716	yan2	to speak/to say/talk/word
314	员	54508	66.5045387083	yuan2	person/employee/member
315	房	54360	66.5668427168	fang2	house
316	件	54252	66.6290229424	jian4	a measure word for thing, clothes, item
317	万	53972	66.6908822496	wan4	Wan (surname)/ten thousand/a great number
318	条	53895	66.7526533043	tiao2	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article
319	提	53552	66.814031234	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention
320	写	53519	66.8753713412	xie3	to write
321	或	53426	66.9366048577	huo4	maybe/perhaps/might/possibly/or
322	坐	53224	66.9976068544	zuo4	to sit/to take a seat/to take (a bus, airplane etc.)
323	北	53009	67.0583624317	bei3	north
324	早	52411	67.1184326191	zao3	early/morning
325	失	52296	67.1783710007	shi1	to lose/to miss/to fail
326	离	51798	67.2377386061	li2	to leave/to depart/to go away/from
327	步	51493	67.2967566397	bu4	a step/a pace/walk/march/stages in a process
328	陈	51377	67.3556417214	chen2	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)
329	乎	51267	67.414400728	hu1	(interrog. part.)
330	请	51200	67.4730829434	qing3	to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request
331	转	50865	67.531381203	zhuan3/zhuan4	to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about
332	近	50340	67.5890777406	jin4	near/close (to)/approximately
333	切	50105	67.646504936	qie1/qie4	to cut/to slice, close to
334	黑	49948	67.7037521878	hei1	black/dark
335	深	49811	67.760842419	shen1	deep/profound
336	城	49576	67.8176633079	cheng2	city walls/city/town
337	办	49501	67.8743982365	ban4	to do/to manage/to handle/to go about/to run/to set up/to deal with
338	倒	49429	67.9310506433	dao3/dao4	to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted
339	各	49271	67.9875219604	ge4	each/every
340	父	49157	68.0438626179	fu4	father
341	传	49065	68.1000978308	chuan2/zhuan4	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography
342	音	48923	68.1561702923	yin1	sound/noise/news
343	站	48795	68.2120960482	zhan4	station/to stand/to halt/to stop
344	官	48658	68.2678647833	guan1	official/government
345	半	48410	68.3233492764	ban4	half/semi-/incomplete/(after a number) and a half/half
346	男	48136	68.378519728	nan2	male
347	击	47768	68.4332684012	ji1	to hit/to strike/to break
348	合	47601	68.4878256695	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join
349	阿	47383	68.54213308	a1/a4/a/e1	an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter
350	英	47309	68.5963556763	ying1	(surname)/English/brave
351	决	47168	68.6504166672	jue2	breach (a dyke)/to decide/to determine
352	怕	46965	68.7042449924	pa4	to be afraid/to fear
353	杀	46807	68.7578922279	sha1	to kill/to murder/to slaughter
354	未	46674	68.8113870272	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not
355	形	46621	68.8648210812	xing2	to appear/to look/form/shape
356	及	46601	68.9182322125	ji2	to reach/and
357	算	46570	68.9716078135	suan4	regard as/to figure/to calculate/to compute
358	青	46528	69.0249352768	qing1	green (blue, black)
